2015 NGS-A Gene and Chromosomal Position List				Date into Voyager?	Chromosomal Location			Concatenate Result	Text Result	Date into Voyager?																																																																																																																																																																																																																																																			
Gene Name	HGNC ID	Chromosomal Position	Transcript number		Concatenate set up																																																																																																																																																																																																																																																								
ABCC9	HGNC:60	chr12 22086810	NM_020297.2	4/21/15	chr12	22086809	22086810	chr12:22086809-22086810	chr12:22086809-22086810	4/21/15																																																																																																																																																																																																																																																			
ABCD1	HGNC:61	chrX 153001860	NM_000033.3	4/21/15	chrX	153001859	153001860	chrX:153001859-153001860	chrX:153001859-153001860	4/21/15																																																																																																																																																																																																																																																			
ACTA2	HGNC:130	chr10 90707040	NM_001613.2	4/21/15	chr10	90707039	90707040	chr10:90707039-90707040	chr10:90707039-90707040	4/21/15																																																																																																																																																																																																																																																			
AIP	HGNC:358	chr11 67258391	NM_003977.2	4/21/15	chr11	67258390	67258391	chr11:67258390-67258391	chr11:67258390-67258391	4/21/15																																																																																																																																																																																																																																																			
AIPL1	HGNC:359	chr17 6337247	NM_014336.3	4/21/15	chr17	6337246	6337247	chr17:6337246-6337247	chr17:6337246-6337247	4/21/15																																																																																																																																																																																																																																																			
AKAP9	HGNC:379	chr7 91652179	NM_005751.4	4/21/15	chr7	91652178	91652179	chr7:91652178-91652179	chr7:91652178-91652179	4/21/15																																																																																																																																																																																																																																																			
ALDH7A1	HGNC:877	chr5 125887715	NM_001182.4	4/21/15	chr5	125887714	125887715	chr5:125887714-125887715	chr5:125887714-125887715	4/21/15																																																																																																																																																																																																																																																			
ALG6	HGNC:23157	chr1 63881552	NM_013339.3	4/21/15	chr1	63881551	63881552	chr1:63881551-63881552	chr1:63881551-63881552	4/21/15																																																																																																																																																																																																																																																			
ALK	HGNC:427	chr2 29416572	NM_004304.4	4/21/15	chr2	29416571	29416572	chr2:29416571-29416572	chr2:29416571-29416572	4/21/15																																																																																																																																																																																																																																																			
AMPD1	HGNC:468	chr1 115222237	NM_000036.2	4/21/15	chr1	115222236	115222237	chr1:115222236-115222237	chr1:115222236-115222237	4/21/15																																																																																																																																																																																																																																																			
ANK2	HGNC:493	chr4 114232454	NM_001148.4	4/21/15	chr4	114232453	114232454	chr4:114232453-114232454	chr4:114232453-114232454	4/21/15																																																																																																																																																																																																																																																			
ANO5	HGNC:27337	chr11 22271870	NM_213599.2	4/21/15	chr11	22271869	22271870	chr11:22271869-22271870	chr11:22271869-22271870	4/21/15																																																																																																																																																																																																																																																			
AP3B1	HGNC:566	chr5 77396836	NM_003664.3	4/21/15	chr5	77396835	77396836	chr5:77396835-77396836	chr5:77396835-77396836	4/21/15																																																																																																																																																																																																																																																			
APC	HGNC:583	chr5 112176756	NM_000038.5	4/21/15	chr5	112176755	112176756	chr5:112176755-112176756	chr5:112176755-112176756	4/21/15																																																																																																																																																																																																																																																			
ASPM	HGNC:19048	chr1 197070901	NM_018136.4	4/21/15	chr1	197070900	197070901	chr1:197070900-197070901	chr1:197070900-197070901	4/21/15																																																																																																																																																																																																																																																			
ATM	HGNC:795	chr11 108183167	NM_000051.3	4/21/15	chr11	108183166	108183167	chr11:108183166-108183167	chr11:108183166-108183167	4/21/15																																																																																																																																																																																																																																																			
ATP1A2	HGNC:800	chr1 160105367	NM_000702.3	4/21/15	chr1	160105366	160105367	chr1:160105366-160105367	chr1:160105366-160105367	4/21/15																																																																																																																																																																																																																																																			
ATP6V1B1	HGNC:853	chr2 71163173	NM_001692.3	4/21/15	chr2	71163172	71163173	chr2:71163172-71163173	chr2:71163172-71163173	4/21/15																																																																																																																																																																																																																																																			
